"X","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DEG_status","Segment","Gene_Name","PID","X.OG"
1,"AT1G01560",34.7113299229077,2.51143903296092,0.684764109924347,-3.66759734711912,0.000244840346622681,0.0397178604206674,"UP in weep","Segment.3",NA,NA,NA
2,"AT1G01680",41.2654503935179,4.47674457401251,0.978494581473953,-4.5751347618798,4.75913546332238e-06,0.000594673122089398,"UP in weep","Segment.2",NA,NA,NA
3,"AT1G01680",41.2654503935179,5.63230435880164,1.52736389785697,-3.6875981988996,0.00022638074131064,0.0379588809937801,"UP in weep","Segment.3",NA,NA,NA
4,"AT1G02950",261.877146343786,-1.15328960802826,0.308984705220524,3.73251357928913,0.000189578473201052,0.0178631574637894,"DOWN in weep","Segment.1",NA,NA,NA
5,"AT1G03130",137.666517106539,1.0069299134008,0.293602223021046,-3.42957183034892,0.000604534394933535,0.0206663314695675,"UP in weep","Segment.2",NA,NA,NA
6,"AT1G03820",898.149345854974,-1.69533349985892,0.412071744687057,4.11417070380893,3.88573816196668e-05,0.0059397390253603,"DOWN in weep","Segment.1",NA,NA,NA
7,"AT1G04040",9061.67477208193,-1.127807450447,0.285012721229103,3.95704249825549,7.58834344669365e-05,0.00472034052313501,"DOWN in weep","Segment.2",NA,NA,NA
8,"AT1G04350",147.483323355443,-1.6167072502903,0.380905534592663,4.24437847042362,2.19200124086905e-05,0.00187631854247932,"DOWN in weep","Segment.2",NA,NA,NA
9,"AT1G04370",8.73355882167121,5.79198392963684,1.87222551965152,-3.0936358194257,0.00197720028256058,0.045927658700248,"UP in weep","Segment.2",NA,NA,NA
10,"AT1G04610",553.611730232701,-2.35779953989809,0.401262467960247,5.87595334266766,4.20416734826925e-09,2.68844136723736e-06,"DOWN in weep","Segment.2",NA,NA,NA
11,"AT1G05100",74.6861859795628,1.25044774304234,0.405946766595549,-3.08032443152376,0.00206775222655036,0.0473649575963423,"UP in weep","Segment.2","MAPKKK18","AT1G05100.1.Araport11.447","OG0000311"
12,"AT1G05530",340.360824280112,-2.68790538075886,0.528933329154543,5.08174704183467,3.73979225579367e-07,8.43446028575676e-05,"DOWN in weep","Segment.2",NA,NA,NA
13,"AT1G05575",823.593250190966,1.00739843182255,0.264670784499937,-3.80623208460997,0.000141099984761315,0.014874872155902,"UP in weep","Segment.1",NA,NA,NA
14,"AT1G05660",1060.44205567159,-2.60629195014227,0.521207973877665,5.0004836471554,5.71866785911982e-07,0.000112013762696381,"DOWN in weep","Segment.2",NA,NA,NA
15,"AT1G06350",253.7997131042,3.50049888691996,1.05803819966152,-3.3084806276747,0.000938036742300821,0.0277480202055843,"UP in weep","Segment.2",NA,NA,NA
16,"AT1G07135",567.253632125935,2.44772217904765,0.746117018837731,-3.28061432355559,0.00103581276807557,0.0298356539966449,"UP in weep","Segment.2",NA,NA,NA
17,"AT1G07175",61.0419456256455,-4.45430829988513,1.4002331688858,3.18111897279902,0.00146707367482245,0.037703446617009,"DOWN in weep","Segment.2",NA,NA,NA
18,"AT1G07880",277.593949719924,-1.44732024887579,0.325585929591584,4.44527885677158,8.77779338312161e-06,0.00192873702656077,"DOWN in weep","Segment.1",NA,NA,NA
19,"AT1G08860",11.5724911163305,7.48466043432182,1.70454473312974,-4.39100264654194,1.12829167146323e-05,0.00110501430274566,"UP in weep","Segment.2",NA,NA,NA
20,"AT1G09090",1656.07620046745,-1.11587235187329,0.295878394847023,3.77138841938839,0.000162341747139208,0.00820845178209458,"DOWN in weep","Segment.2","rbohb","AT1G09090.2.Araport11.447","OG0000553"
21,"AT1G09380",59.2761792703406,-2.01680853934186,0.597028684412542,3.37807645092687,0.000729947839949104,0.0431481816125766,"DOWN in weep","Segment.1",NA,NA,NA
22,"AT1G09575",250.19272357422,1.08014334548695,0.251316730881196,-4.2979364791975,1.72395548560049e-05,0.00153615738393138,"UP in weep","Segment.2",NA,NA,NA
23,"AT1G09750",1543.64481031626,-1.87008524568173,0.352278010557341,5.30854946842427,1.10501096362046e-07,3.25170524736477e-05,"DOWN in weep","Segment.2",NA,NA,NA
24,"AT1G09932",1232.43582363281,1.88095010839164,0.334524052831116,-5.62276491771801,1.87925058463155e-08,7.70918230397343e-06,"UP in weep","Segment.2",NA,NA,NA
25,"AT1G09950",64.6748343190545,1.9139083026918,0.526187776666373,-3.63731045752761,0.000275499789309758,0.0116535338894412,"UP in weep","Segment.2",NA,NA,NA
26,"AT1G10070",257.513053534564,2.78117364823239,0.737856681157963,-3.76925996504867,0.000163732284437362,0.0160682372770382,"UP in weep","Segment.1",NA,NA,NA
27,"AT1G10070",257.513053534564,4.04438161893461,0.768131972550943,-5.26521712864437,1.40023765769086e-07,3.853666728293e-05,"UP in weep","Segment.2",NA,NA,NA
28,"AT1G10340",320.017474255543,1.16188180024526,0.269855959718378,-4.30556286938336,1.6656167653031e-05,0.00581464082248025,"UP in weep","Segment.3",NA,NA,NA
29,"AT1G10640",96.86030880779,-2.26605637246611,0.574612552604611,3.94362490376254,8.0259159262795e-05,0.00488794017000473,"DOWN in weep","Segment.2",NA,NA,NA
30,"AT1G11080",1351.30885467688,-1.13996002240224,0.198179010745468,5.75217334123415,8.81033930745247e-09,8.93410359772383e-06,"DOWN in weep","Segment.1",NA,NA,NA
31,"AT1G11080",1351.30885467688,-1.35188877899509,0.196572353074088,6.87730882727728,6.09937914625311e-12,8.84084675985567e-09,"DOWN in weep","Segment.2",NA,NA,NA
32,"AT1G11080",1351.30885467688,-1.06516128576317,0.210745470173821,5.05425471249577,4.32074657183828e-07,0.000332379341787102,"DOWN in weep","Segment.3",NA,NA,NA
33,"AT1G11210",306.098641307226,1.02071151550931,0.2845666921158,-3.58689735583651,0.000334635971690935,0.0132396156781053,"UP in weep","Segment.2",NA,NA,NA
34,"AT1G11260",3980.49883895588,1.12624803792739,0.208297533238871,-5.406919709586,6.41178682294703e-08,2.05007454565462e-05,"UP in weep","Segment.2",NA,NA,NA
35,"AT1G12090",9861.5165434334,-1.56199990329322,0.355272038812023,4.39663056095357,1.09944239168083e-05,0.00108654893090566,"DOWN in weep","Segment.2",NA,NA,NA
36,"AT1G12610",25.3606748431469,3.84260899572688,1.15447084301559,-3.32845911092014,0.000873278230447769,0.047683230557398,"UP in weep","Segment.1",NA,NA,NA
37,"AT1G12610",25.3606748431469,8.46672581463084,1.60323663557673,-5.28102067202646,1.28466193300261e-07,3.67514733517668e-05,"UP in weep","Segment.2",NA,NA,NA
38,"AT1G13340",1217.31377699241,1.46863137470221,0.227580904850664,-6.4532275924727,1.09492730285278e-10,3.88607948570834e-07,"UP in weep","Segment.3",NA,NA,NA
39,"AT1G13520",598.53314550594,1.07730725631581,0.225226993094986,-4.7832066730184,1.72520579020151e-06,0.0010496644943526,"UP in weep","Segment.3",NA,NA,NA
40,"AT1G13610",40.4645359041519,-1.3270711340291,0.400617741356791,3.31256206860597,0.000924456103832076,0.0490929993294366,"DOWN in weep","Segment.1",NA,NA,NA
41,"AT1G14220",692.996788462597,-2.02834289536566,0.419785663338721,4.83185366368506,1.35267668156407e-06,0.000222802245534592,"DOWN in weep","Segment.2",NA,NA,NA
42,"AT1G14480",368.802762599667,2.1311939261529,0.476941579412483,-4.4684590695116,7.87850836394411e-06,0.0017848174001084,"UP in weep","Segment.1",NA,NA,NA
43,"AT1G14480",368.802762599667,2.3727107333746,0.474233751233046,-5.00325151300463,5.63713151241076e-07,0.000112013762696381,"UP in weep","Segment.2",NA,NA,NA
44,"AT1G14580",368.572617550281,-1.5792347472398,0.415548397354926,3.80036298369105,0.000144484290013451,0.00759797121751449,"DOWN in weep","Segment.2",NA,NA,NA
45,"AT1G14630",129.272061556985,-1.49060588934353,0.396491914451898,3.75948622156421,0.000170262653818499,0.0165559050824883,"DOWN in weep","Segment.1",NA,NA,NA
